Timestamp,Feedback
2025-09-17 22:17:50,"thank you marco for this very helpful survey, it helped me get more informed and learn more about the vulnerablities and what i can improve on to get better knowledge with cybersecurity!"
2025-09-19 23:04:17,awesome app!
2025-10-08 02:58:26,"Gives a very good understanding of things to look out for, spotting hard to miss details, and overall great practices to remain safe in today's age of cyber. It would be nice to see this expanded to more things like websites, ads, or even logos because those can be hard to miss as well."
